,Artist Name
0,The Beatles
1,Coldplay
2,Sturgill Simpson
3,The Jam
4,Tinariwen
5,Radiohead
6,Pink Floyd
7,Nile
8,Dave Brubeck
9,Danny Brown
10,R.E.M.
11,AC/DC
12,Teenage Fanclub
13,Guided by Voices
14,Muse
15,Shabazz Palaces
16,Red Hot Chili Peppers
17,Jeff Beck
18,Joni Mitchell
19,Chikuma Jun
20,Bon Iver
21,The Black Keys
22,Buena Vista Social Club
23,Duster
24,The Wailers
25,Toro y Moi
26,"Mitsuda Yasunori, Uematsu Nobuo"
27,MGMT
28,Vampire Weekend
29,Best Coast
30,SZA
31,Kendrick Lamar
32,Sonic Youth
33,The White Stripes
34,Kings of Convenience
35,Gorillaz
36,Daft Punk
37,Tycho
38,Django Reinhardt & Stephane Grappelli
39,Portishead
40,Charlie Hunter & Leon Parker
41,Elliott Smith
42,The Jimi Hendrix Experience
43,DJ Shadow
44,Wu-Tang Clan
45,The Cinematic Orchestra
46,Jay Som
47,Cornelius
48,Night Tempo
49,Electronic Arts
50,Uematsu Nobuo
51,Vincent Diamante
52,Neko Case
53,Yes
54,Blood Orange
55,The Stooges
56,Spoon
57,Adrian Cronauer
58,Jeff Buckley
59,Creedence Clearwater Revival
60,The Gaslight Anthem
61,Pizzicato Five
62,El Guincho
63,David Bowie
64,Fatherson
65,Nas
66,Miles Davis
67,King Crimson
68,Frank Sinatra
69,Tame Impala
70,Various Artists
71,Thundercat
72,Yeah Yeah Yeahs
73,Tatsuro Yamashita
74,John Williams
75,Yu Miyake
76,"Bill Kiley, LudoWic"
77,MC5
78,Meitei
79,Led Zeppelin
80,Mastodon
81,The Who
82,Jerry Lee Lewis
83,The Clash
84,Karen O & Danger Mouse
85,MF DOOM & Madlib
86,fka twigs
87,Superchunk
88,Black Sabbath
89,Run the Jewels
90,Animal Collective
91,Bonobo
92,Charles Mingus
93,Art Blakey and the Jazz Messengers
94,nujabes
95,Gang Starr
96,Mogwai
97,Boards of Canada
98,Sex Pistols
99,"Keiichi Okabe, Kuniyuki Takahashi, Keigo Hoashi, Emi Evans"
100,Uncle Tupelo
101,Wiki
102,Motörhead
103,Beck
104,The Style Council
105,Washed Out
106,Blur
107,Bob Mould
108,Beastie Boys
109,"Shoji Meguro, Lyn Inaizumi"
110,The Beach Boys
111,Placebo
112,Iron Maiden
113,Night Rally
114,Purple Mountains
115,Rammstein
116,Killer Mike
117,Rage Against the Machine
118,Slayer
119,At the Drive-In
120,Angélique Kidjo
121,Pistol McFly
122,Megadeth
123,Sambomaster
124,SBTRKT
125,Sam Fender
126,Bloc Party
127,ASIAN KUNG-FU GENERATION
128,Little Simz
129,Queens of the Stone Age
130,clipping.
131,Gnarls Barkley
132,Neon Bunny
133,The Rolling Stones
134,Wilco
135,Sigur Rós
136,Pearl Jam
137,Stevie Ray Vaughan & Double Trouble
138,Monty Python
139,The Sea and Cake
140,Machine Head
141,The Doors
142,Kamasi Washington
143,Christopher Parkening
144,The Kinks
145,A Tribe Called Quest
146,Andy Shauf
147,The Smiths
148,Behemoth
149,Elbow
150,"The Flaming Lips, Colorado Symphony Orchestra"
151,The Velvet Underground & Nico
152,WIRED Magazine
153,Modest Mouse
154,Explosions in the Sky
155,Michael Jackson
156,The Go! Team
157,The Replacements
158,Parannoul
159,Tortoise
160,System of a Down
161,Keane
162,Grizzly Bear
163,Neon Indian
164,Vince Staples
165,Arooj Aftab
166,Weezer
167,Omar Souleyman
168,King Khan and the Shrines
169,yaeji
170,Marvin Gaye
171,Oasis
172,The Supremes
173,The Shins
174,Flying Lotus
175,Dinosaur Jr.
176,My Morning Jacket
177,Big Star
178,Kraftwerk
179,Rodrigo y Gabriela
180,Sebadoh
181,Eagles
182,The Flaming Lips
183,Soundgarden
184,Testament
185,Aphex Twin
186,Fleet Foxes
