YEAR GENRE TITLE
1955 Pop 1
1959 Jazz 3
1961 Jazz 1
1963 Jazz 1
1964 Rock 2
1964 Soul 1
1966 Pop 1
1966 Rock 1
1967 Rock 3
1968 Rock 2
1969 Jazz 1
1969 Rock 4
1970 Metal 1
1970 Rock 2
1971 Folk 1
1971 Metal 1
1971 Rock 5
1971 Soul 1
1972 Rock 3
1973 Reggae 1
1973 Rock 2
1975 Rock 2
1975 "Spoken Word" 1
1976 Rock 1
1977 Rock 3
1978 Rock 1
1979 Rock 1
1980 Rock 1
1981 Rock 1
1982 Pop 1
1983 Alternative 1
1983 Blues 1
1984 Metal 1
1985 Alternative 1
1985 Pop 1
1986 Alternative 1
1986 Metal 1
1987 Alternative 1
1987 Soundtrack 1
1988 Alternative 1
1989 Hip-Hop 1
1989 Pop 1
1990 Alternative 1
1990 Metal 2
1991 Alternative 1
1991 Hip-Hop 2
1991 Rock 2
1992 Alternative 1
1992 Electronic 1
1992 Rock 1
1993 Classical 1
1993 Hip-Hop 1
1993 Soundtrack 1
1994 Alternative 6
1994 Electronic 1
1994 Hip-Hop 1
1994 Rock 1
1995 Alternative 3
1995 Rock 1
1995 Soundtrack 1
1996 Alternative 3
1996 Hip-Hop 1
1997 Alternative 3
1997 Pop 1
1997 Soundtrack 1
1997 World 1
1998 Electronic 1
1998 Hip-Hop 1
1998 Soundtrack 1
1999 Alternative 1
1999 Jazz 1
2000 Alternative 3
2001 Alternative 3
2001 Electronic 1
2001 Metal 1
2002 Alternative 3
2002 Electronic 1
2002 Rock 1
2004 Alternative 1
2004 Compilation 1
2004 Hip-Hop 1
2004 Metal 1
2004 Rock 1
2004 Soundtrack 1
2004 World 1
2005 Alternative 4
2005 Hip-Hop 1
2005 Metal 1
2005 World 1
2006 Alternative 5
2006 Electronic 1
2006 Soul 1
2007 Alternative 3
2007 Metal 1
2007 Rock 1
2007 Soundtrack 1
2008 Alternative 2
2008 Folk 1
2009 Alternative 4
2009 Electronic 1
2009 Folk 1
2009 Metal 1
2009 Soundtrack 1
2009 World 1
2010 Alternative 6
2010 Rock 1
2010 Soundtrack 1
2011 Alternative 1
2011 Electronic 2
2011 Hip-Hop 1
2011 Metal 1
2012 Alternative 1
2012 Hip-Hop 2
2012 Rock 1
2013 Alternative 1
2013 Electronic 1
2013 Soundtrack 2
2013 World 1
2014 Electronic 1
2014 Hip-Hop 1
2014 Metal 1
2014 Rock 1
2015 Alternative 1
2015 Electronic 1
2015 Hip-Hop 2
2015 Jazz 1
2016 Alternative 2
2016 Country 1
2016 Electronic 1
2016 Hip-Hop 3
2016 Soul 1
2016 World 1
2017 Alternative 1
2017 Electronic 3
2017 Hip-Hop 2
2017 Soul 1
2017 Soundtrack 2
2018 Electronic 1
2018 World 1
2019 Alternative 4
2019 Hip-Hop 1
2019 Metal 1
2019 R&B 1
2019 Rock 1
2019 Soundtrack 1
2019 World 1
2020 Alternative 1
2020 Electronic 1
2020 Hip-Hop 1
2020 R&B 1
2021 Alternative 1
2021 Hip-Hop 2
2021 Jazz 1
2021 Rock 1
